inst_instid,indic_indicid,area_areaid,value,value_normalized,date_from,date_until,date_published,date_updated,is_forecast
OECD,RPMGS,MEX,0.821266338684968,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,NLGXQ,AUS,-0.593734470247282,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,GNINTQ,BGR,0.183308724706991,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,FDDV_ANNPCT,PER,2.62905314584672,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,MGSD,DNK,264028598980.13,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,YPH,NOR,1401206779877.79,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,PIT,COL,1.77608757157757,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,NOOQ,EST,0.35015646406799,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,XGSV,ESP,463381430886.384,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,PMGS,GBR,1.22930157835846,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,GGFLMQ,POL,52.3978789902101,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,TDDV,HUN,42891550881956.6,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,GDPVTR_ANNPCT,TUR,4.16533133001922,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,YRGQ,GRC,45.9632694254336,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,IFU3,ROU,1.00967204756195,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,IHV,LTU,1749971235.79937,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,GDPV_CAP,CAN,59026.351124297,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,YROTH,CAN,297187571058.101,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,EFFLABS,BGR,20348.9954540439,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,YPGXQA,USA,33.7525902190663,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,PXC,BEL,1.24626407943479,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,NLGXQU,IRL,2.50982802218536,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,GDPVD_CAP,HUN,35902.8764667411,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,YRH_G,PRT,268460681313.56,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,TKTRG,KOR,17411320121105.9,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,CLFS,CHL,0.999999999999996,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,RFSH,FIN,0.187726717914494,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,ITV_ANNPCT,BEL,2.8460886783201,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,ES,ROU,1835477.82057166,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,GDP_USD,CZE,323789778512.331,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,PCOREH,PRT,1.18297813295881,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,CQ_ISKV,BEL,0.0,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,NLGXQU,CHE,0.23299234974199,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,CGV_ANNPCT,GRC,0.734617251743158,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
